Austria,1,Yes,10
Belgium,2,Yes,10
Bulgaria,3,Yes,10 or less
Croatia,4,Yes,10 (7 for banks)
Cyprus,5,Yes,10
Czech Republic,6,Yes,10
Denmark,7,Yes,10
Estonia,8,Yes,10
Finland,9,Yes,10
France,10,Yes,10
Germany,11,Yes,10
Greece,12,Yes,10
Hungary,13,Yes,5
Iceland,14,Yes,10
Ireland,15,Yes,10
Italy,16,Yes,9
Latvia,17,Yes,10
Lithuania,19,Yes,10
Luxembourg,20,Yes,10
Malta,21,Yes,10
The Netherlands,30,Yes,10
Norway ,22,Yes,10
Poland,23,Yes,8 + 2
Portugal,24,Yes,8 or 9
Romania,25,Yes,10
Slovakia,26,Yes,10
Slovenia,27,Yes,10
Spain,28,Yes,10
Sweden,29,Yes,10
United Kingdom,31,Yes,10
