Workflow Status - Started    |   Item ID - 1259
Workflow Status - Started    |   Item ID - 1258
Workflow Status - Completed    |   Item ID - 1257
Workflow Status - Completed    |   Item ID - 1257
Workflow Status - Started    |   Item ID - 1256
Workflow Status - Started    |   Item ID - 1254
Workflow Status - Started    |   Item ID - 1253
Workflow Status - Completed    |   Item ID - 1251
Workflow Status - Started    |   Item ID - 1252
Workflow Status - Completed    |   Item ID - 1246
Workflow Status - Completed    |   Item ID - 1251
Workflow Status - Started    |   Item ID - 1250
Workflow Status - Started    |   Item ID - 1249
Workflow Status - Started    |   Item ID - 1248
Workflow Status - Completed    |   Item ID - 1247
Workflow Status - Completed    |   Item ID - 1247
Workflow Status - Completed    |   Item ID - 1241
Workflow Status - Completed    |   Item ID - 1217
Workflow Status - Completed    |   Item ID - 1054
Workflow Status - Completed    |   Item ID - 1245
Workflow Status - Completed    |   Item ID - 1246
Workflow Status - Completed    |   Item ID - 1245
Workflow Status - Started    |   Item ID - 1244
Workflow Status - Started    |   Item ID - 1243
Workflow Status - Completed    |   Item ID - 1242
Workflow Status - Completed    |   Item ID - 1242
Workflow Status - Completed    |   Item ID - 1241
Workflow Status - Completed    |   Item ID - 1238
Workflow Status - Completed    |   Item ID - 1237
Workflow Status - Completed    |   Item ID - 1240
Workflow Status - Completed    |   Item ID - 1195
Workflow Status - Completed    |   Item ID - 1239
Workflow Status - Completed    |   Item ID - 1240
Workflow Status - Completed    |   Item ID - 1234
Workflow Status - Completed    |   Item ID - 1239
Workflow Status - Completed    |   Item ID - 1238
Workflow Status - Completed    |   Item ID - 1237
Workflow Status - Completed    |   Item ID - 1130
Workflow Status - Completed    |   Item ID - 1235
Workflow Status - Completed    |   Item ID - 1226
Workflow Status - Completed    |   Item ID - 1227
Workflow Status - Completed    |   Item ID - 1231
Workflow Status - Started    |   Item ID - 1236
Workflow Status - Completed    |   Item ID - 1236
Workflow Status - Completed    |   Item ID - 1235
Workflow Status - Completed    |   Item ID - 1235
Workflow Status - Completed    |   Item ID - 1234
Workflow Status - Completed    |   Item ID - 1230
Workflow Status - Completed    |   Item ID - 1231
Workflow Status - Completed    |   Item ID - 1229
Workflow Status - Completed    |   Item ID - 1228
Workflow Status - Completed    |   Item ID - 1230
Workflow Status - Completed    |   Item ID - 1229
Workflow Status - Completed    |   Item ID - 1228
Workflow Status - Completed    |   Item ID - 1227
Workflow Status - Completed    |   Item ID - 1226
Workflow Status - Completed    |   Item ID - 1225
Workflow Status - Completed    |   Item ID - 1225
Workflow Status - Started    |   Item ID - 1224
Workflow Status - Completed    |   Item ID - 1221
Workflow Status - Completed    |   Item ID - 1223
Workflow Status - Completed    |   Item ID - 1223
Workflow Status - Started    |   Item ID - 1222
Workflow Status - Completed    |   Item ID - 1221
Workflow Status - Started    |   Item ID - 1219
Workflow Status - Completed    |   Item ID - 1218
Workflow Status - Completed    |   Item ID - 1218
Workflow Status - Completed    |   Item ID - 1195
Workflow Status - Completed    |   Item ID - 1198
Workflow Status - Completed    |   Item ID - 1170
Workflow Status - Completed    |   Item ID - 960
Workflow Status - Completed    |   Item ID - 1200
Workflow Status - Completed    |   Item ID - 1208
Workflow Status - Completed    |   Item ID - 1217
Workflow Status - Completed    |   Item ID - 1201
Workflow Status - Completed    |   Item ID - 909
Workflow Status - Completed    |   Item ID - 848
Workflow Status - Completed    |   Item ID - 1216
Workflow Status - Completed    |   Item ID - 1206
Workflow Status - Completed    |   Item ID - 1215
Workflow Status - Completed    |   Item ID - 1215
Workflow Status - Completed    |   Item ID - 1214
Workflow Status - Completed    |   Item ID - 869
Workflow Status - Completed    |   Item ID - 1213
Workflow Status - Completed    |   Item ID - 1214
Workflow Status - Completed    |   Item ID - 1213
Workflow Status - Started    |   Item ID - 1211
Workflow Status - Completed    |   Item ID - 1207
Workflow Status - Completed    |   Item ID - 1191
Workflow Status - Completed    |   Item ID - 1205
Workflow Status - Completed    |   Item ID - 948
Workflow Status - Completed    |   Item ID - 1077
Workflow Status - Completed    |   Item ID - 1182
Workflow Status - Started    |   Item ID - 959
Workflow Status - Started    |   Item ID - 956
Workflow Status - Completed    |   Item ID - 924
Workflow Status - Completed    |   Item ID - 869
Workflow Status - Completed    |   Item ID - 848
